"","parameter_cd","parameter_group_nm","parameter_nm","casrn","srsname","parameter_units"
"3","x00003","Information","Sampling depth, feet",NA,NA,"ft"
"67","x50280","Information","Site visit purpose, code",NA,NA,"code"
"236","x71999","Information","Sample purpose, code",NA,NA,"code"
"238","x72004","Information","Pump or flow period prior to sampling, minutes",NA,NA,"minutes"
"239","x72005","Information","Sample source, code",NA,NA,"code"
"240","x72006","Information","Sampling condition, code",NA,NA,"code"
"372","x82398","Information","Sampling method, code",NA,NA,"code"
"388","x84164","Information","Sampler type, code",NA,NA,"code"
"1349","x99105","Information","Type of replicate, code",NA,NA,"code"
"1355","x99111","Information","Type of quality assurance data associated with sample, code",NA,NA,"code"
"1366","x99159","Information","Nitric acid NWIS lot number, 7.5-7.7 N, 2 mL, National Field Supply Service (NFSS) stock number Q436FLD",NA,NA,"nu"
"1369","x99162","Information","Conductance standard NWIS lot number, 250 uS/cm KCl, National Field Supply Service (NFSS) stock number Q44FLD",NA,NA,"nu"
"1370","x99163","Information","Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD",NA,NA,"nu"
"1372","x99165","Information","Conductance standard NWIS lot number, 1000 uS/cm KCl, National Field Supply Service (NFSS) stock number Q47FLD",NA,NA,"nu"
"1378","x99171","Information","pH 10 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q122FLD, Q123FLD",NA,NA,"nu"
"1379","x99172","Information","pH 4 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q124FLD, Q125FLD",NA,NA,"nu"
"1380","x99173","Information","pH 7 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q126FLD, Q127FLD",NA,NA,"nu"
"1393","x99206","Information","NWIS lot number, capsule filter, 0.45 micron",NA,NA,"nu"
"1602","x00010","Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"1607","x00020","Physical","Temperature, air, degrees Celsius",NA,"Temperature, air, deg C","deg C"
"1609","x00025","Physical","Barometric pressure, millimeters of mercury",NA,"Barometric pressure","mm/Hg"
"1628","x00059","Physical","Flow rate, instantaneous, gallons per minute",NA,"Flow rate, instantaneous","gal/min"
"1648","x00095","Physical","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",NA,"Specific conductance","uS/cm @25C"
"1689","x00400","Physical","pH, water, unfiltered, field, standard units",NA,"pH","std units"
"1692","x00403","Physical","pH, water, unfiltered, laboratory, standard units",NA,"pH, lab","std units"
"1710","x00900","Physical","Hardness, water, milligrams per liter as calcium carbonate",NA,"Total hardness -- SDWA NPDWR","mg/l CaCO3"
"1714","x00904","Physical","Noncarbonate hardness, water, filtered, field, milligrams per liter as calcium carbonate",NA,"Hardness, non-carbonate","mg/l CaCO3"
"1736","x30210","Physical","Depth to water level, below land surface datum (LSD), meters",NA,"Depth, from ground surface to well water level","m"
"1959","x70300","Physical","Dissolved solids dried at 180 degrees Celsius, water, filtered, milligrams per liter",NA,"Total dissolved solids","mg/l"
"1960","x70301","Physical","Dissolved solids, water, filtered, sum of constituents, milligrams per liter",NA,"Total dissolved solids","mg/l"
"1962","x70303","Physical","Dissolved solids, water, filtered, short tons per acre-foot",NA,"Total dissolved solids","tons/ac ft"
"1984","x72019","Physical","Depth to water level, feet below land surface",NA,"Depth to water level below land surface","ft"
"2208","x90095","Physical","Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius",NA,"Specific conductance","uS/cm @25C"
"2258","x00915","Inorganics, Major, Metals","Calcium, water, filtered, milligrams per liter","7440-70-2","Calcium","mg/l"
"2266","x00925","Inorganics, Major, Metals","Magnesium, water, filtered, milligrams per liter","7439-95-4","Magnesium","mg/l"
"2270","x00930","Inorganics, Major, Metals","Sodium, water, filtered, milligrams per liter","7440-23-5","Sodium","mg/l"
"2271","x00931","Inorganics, Major, Metals","Sodium adsorption ratio (SAR), water, number",NA,"Sodium adsorption ratio","None"
"2272","x00932","Inorganics, Major, Metals","Sodium fraction of cations, water, percent in equivalents of major cations",NA,"Sodium, percent total cations","%"
"2275","x00935","Inorganics, Major, Metals","Potassium, water, filtered, milligrams per liter","7440-09-7","Potassium","mg/l"
"2526","x00191","Inorganics, Major, Non-metals","Hydrogen ion, water, unfiltered, calculated, milligrams per liter","12408-02-5","Hydrogen ion","mg/l"
"2527","x00300","Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter","7782-44-7","Oxygen","mg/l"
"2528","x00301","Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, percent of saturation","7782-44-7","Oxygen","% saturatn"
"2529","x00405","Inorganics, Major, Non-metals","Carbon dioxide, water, unfiltered, milligrams per liter","124-38-9","Carbon dioxide","mg/l"
"2555","x00452","Inorganics, Major, Non-metals","Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter","3812-32-6","Carbonate (CO3)","mg/l"
"2556","x00453","Inorganics, Major, Non-metals","Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter","71-52-3","Bicarbonate","mg/l"
"2568","x00940","Inorganics, Major, Non-metals","Chloride, water, filtered, milligrams per liter","16887-00-6","Chloride","mg/l"
"2569","x00945","Inorganics, Major, Non-metals","Sulfate, water, filtered, milligrams per liter","14808-79-8","Sulfate","mg/l"
"2571","x00950","Inorganics, Major, Non-metals","Fluoride, water, filtered, milligrams per liter","16984-48-8","Fluoride","mg/l"
"2575","x00955","Inorganics, Major, Non-metals","Silica, water, filtered, milligrams per liter as SiO2","7631-86-9","Silica","mg/l"
"2628","x39086","Inorganics, Major, Non-metals","Alkalinity, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate",NA,"Alkalinity","mg/l CaCO3"
"2691","x71870","Inorganics, Major, Non-metals","Bromide, water, filtered, milligrams per liter","24959-67-9","Bromide","mg/l"
"2692","x71875","Inorganics, Major, Non-metals","Hydrogen sulfide, water, unfiltered, milligrams per liter","7783-06-4","Hydrogen sulfide","mg/l"
"2833","x00608","Nutrient","Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen",NA,"Ammonia and ammonium","mg/l as N"
"2836","x00613","Nutrient","Nitrite, water, filtered, milligrams per liter as nitrogen","14797-65-0","Nitrite","mg/l as N"
"2839","x00618","Nutrient","Nitrate, water, filtered, milligrams per liter as nitrogen","14797-55-8","Nitrate","mg/l as N"
"2849","x00631","Nutrient","Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen",NA,"Inorganic nitrogen (nitrate and nitrite)","mg/l as N"
"2859","x00666","Nutrient","Phosphorus, water, filtered, milligrams per liter as phosphorus","7723-14-0","Phosphorus","mg/l as P"
"2949","x71846","Nutrient","Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as NH4",NA,"Ammonia and ammonium","mg/l NH4"
"2951","x71851","Nutrient","Nitrate, water, filtered, milligrams per liter as nitrate","14797-55-8","Nitrate","mg/l asNO3"
"2953","x71856","Nutrient","Nitrite, water, filtered, milligrams per liter as nitrite","14797-65-0","Nitrite","mg/l asNO3"
"3673","x01046","Inorganics, Minor, Metals","Iron, water, filtered, micrograms per liter","7439-89-6","Iron","ug/l"
"3683","x01056","Inorganics, Minor, Metals","Manganese, water, filtered, micrograms per liter","7439-96-5","Manganese","ug/l"
